property_name,area_type,property_type,status,furnishing,facing,description,price,price_num,square_feet,price_per_sqft,floor_info,max_floors
1 BHK Apartment for Sale in Palanpur Surat,Super Area,New Property,Poss. by Jul '24,Unfurnished,East,"1 BHK, Multistorey Apartment is available for Sale in Palanpur, Surat for 28.0 Lac(s)Read more",₹28 Lac ,2800000.0,990.0,2828.0,5.0,13.0
1 BHK Apartment for Sale in Jahangir Pura Surat,Carpet Area,Resale,Ready to Move,Furnished,East,new bulding with good farnichar middal floor,₹28 Lac ,2800000.0,500.0,3636.0,5.0,12.0
2 BHK Apartment for Sale in Adajan Surat,Super Area,Resale,Ready to Move,Semi-Furnished,East,3bhk Fully FURNISHED,₹30 Lac ,3000000.0,970.0,3093.0,6.0,10.0
2 BHK Apartment for Sale in Palanpur Surat,Carpet Area,Resale,Ready to Move,Unfurnished,East,"2 BHK Exclusive Wind Direction Flat For Sale Nr. Raj World Palanpur.Road Side View, Garden View, Wind Direction, East Facing, South West Open Flat. For Sale.Read more",₹38 Lac ,3800000.0,750.0,3304.0,3.0,5.0
2 BHK Apartment for Sale in Shardhaa Surat,Carpet Area,Resale,Ready to Move,Furnished,East,"Multistorey apartment is available for sale. Nice campus location, CCTV allow, garden space allow.Read more",₹40 Lac ,4000000.0,1100.0,3636.3636363636365,2.0,5.0
2 BHK Apartment for Sale in Adajan Surat,Super Area,Resale,Ready to Move,Furnished,East,short distance from surat station,₹39.5 Lac ,3950000.0,1000.0,3951.0,2.0,4.0
1 BHK Apartment for Sale in Bhesan Road Surat,Super Area,New Property,Poss. by Feb '25,Unfurnished,East,Ugat bhesan road surat near metro stationAnd near garden vegetable market good locationRead more,₹29 Lac ,2900000.0,813.0,3567.0,7.0,14.0
1 BHK Apartment for Sale in Katar Gam Surat,Super Area,Resale,Ready to Move,Unfurnished,East,"1 BHK, Multistorey Apartment is available for Sale in Katar Gam, Surat for 20.0 Lac(s)Read more",₹20 Lac ,2000000.0,550.0,3636.0,5.0,5.0
2 BHK Builder Floor for Sale in Nana Varachha Surat,Super Area,Resale,Ready to Move,Furnished,North - West,"2 BHK, Builder Floor Apartment is available for Sale in Nana Varachha, Surat for 50.0 Lac(s)Read more",₹50 Lac ,5000000.0,1267.0,3946.0,2.0,4.0
2 BHK Apartment for Sale in Vatsalya Avenue Surat,Carpet Area,Resale,Ready to Move,Semi-Furnished,East,"Specious flat with full sunlight from all side. 24x7 SMC water,3 lift, wide coridorRead more",₹30 Lac ,3000000.0,1230.0,2439.0243902439024,9.0,13.0
